epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1882,1.97191,3.61713,1.32086,0.0377,0.41478,0.08025,0.03217,2.08138,3.57346,1.20302,0.00025,0.00025,0.00025
2,37.1552,1.91535,2.35814,1.24318,0.04057,0.65745,0.17056,0.07897,1.71989,2.89231,1.161,0.000503275,0.000503275,0.000503275
3,44.3459,1.83571,2.01063,1.27572,0.4963,0.30472,0.28334,0.14185,1.63277,2.46094,1.173,0.0007471,0.0007471,0.0007471
4,54.4222,1.84871,1.81196,1.26826,0.90901,0.33081,0.41279,0.19791,1.69604,1.81556,1.21476,0.000981475,0.000981475,0.000981475
5,61.7148,1.81243,1.64698,1.2325,0.91122,0.37376,0.46268,0.22321,1.6995,1.7206,1.19686,0.00116,0.00116,0.00116
6,70.3313,1.80552,1.60597,1.26785,0.78382,0.40261,0.49239,0.23807,1.75697,1.85236,1.26971,0.0011375,0.0011375,0.0011375
7,78.5753,1.77342,1.50768,1.25231,0.8196,0.54591,0.62453,0.30558,1.69125,1.5123,1.26005,0.001115,0.001115,0.001115
8,86.2358,1.79794,1.47162,1.28905,0.83136,0.54677,0.66531,0.30794,1.73042,1.36455,1.30463,0.0010925,0.0010925,0.0010925
9,94.8689,1.77927,1.44824,1.26181,0.73692,0.66811,0.70515,0.33909,1.67456,1.28874,1.2132,0.00107,0.00107,0.00107
10,102.096,1.78378,1.38015,1.23631,0.75551,0.69348,0.73668,0.37353,1.63852,1.13949,1.19834,0.0010475,0.0010475,0.0010475
11,111.08,1.72943,1.3282,1.21541,0.85432,0.72916,0.78941,0.40202,1.61266,1.09823,1.18134,0.001025,0.001025,0.001025
12,118.136,1.70595,1.28935,1.20613,0.84148,0.675,0.77215,0.36941,1.68398,1.11376,1.21879,0.0010025,0.0010025,0.0010025
13,126.887,1.74599,1.28192,1.22813,0.82069,0.63465,0.70541,0.35005,1.69326,1.15495,1.2546,0.00098,0.00098,0.00098
14,134.225,1.71738,1.24061,1.20856,0.77782,0.74008,0.79359,0.40676,1.61724,1.0371,1.1864,0.0009575,0.0009575,0.0009575
15,142.384,1.66853,1.19919,1.18952,0.89099,0.74867,0.83974,0.44761,1.59819,0.97162,1.18944,0.000935,0.000935,0.000935
16,151.074,1.65846,1.1928,1.20185,0.87398,0.70218,0.8046,0.38882,1.62511,1.03146,1.15308,0.0009125,0.0009125,0.0009125
17,158.034,1.69018,1.1975,1.20849,0.80368,0.76325,0.81778,0.42988,1.61835,1.02226,1.20048,0.00089,0.00089,0.00089
18,167.004,1.69026,1.20752,1.21471,0.85042,0.77442,0.81774,0.4197,1.60064,0.96399,1.18498,0.0008675,0.0008675,0.0008675
19,174.004,1.64682,1.17378,1.18133,0.84477,0.75545,0.79951,0.42132,1.58925,0.96154,1.17598,0.000845,0.000845,0.000845
20,182.999,1.65365,1.13455,1.19057,0.8484,0.79914,0.82835,0.41768,1.54907,0.93964,1.14836,0.0008225,0.0008225,0.0008225
21,189.866,1.64543,1.11132,1.1655,0.83533,0.7808,0.82361,0.4249,1.60962,0.94339,1.17885,0.0008,0.0008,0.0008
22,198.587,1.66133,1.14,1.19052,0.8459,0.79894,0.81689,0.41249,1.58443,0.93104,1.16453,0.0007775,0.0007775,0.0007775
23,206.223,1.63778,1.08093,1.16785,0.91,0.80458,0.84922,0.4232,1.55224,0.89144,1.16826,0.000755,0.000755,0.000755
24,214.773,1.63206,1.09874,1.16853,0.86041,0.76993,0.82508,0.42768,1.57683,0.89618,1.16076,0.0007325,0.0007325,0.0007325
25,222.896,1.65421,1.08512,1.17629,0.84914,0.75446,0.81302,0.42222,1.57943,0.92551,1.15077,0.00071,0.00071,0.00071
26,230.355,1.63299,1.07508,1.15796,0.85979,0.77686,0.83059,0.44478,1.55335,0.89748,1.16756,0.0006875,0.0006875,0.0006875
27,238.788,1.61068,1.04517,1.15269,0.80089,0.81758,0.81966,0.41457,1.55252,0.88988,1.14981,0.000665,0.000665,0.000665
28,246.109,1.59103,1.03084,1.15269,0.76798,0.7936,0.80629,0.41754,1.58065,0.89042,1.15253,0.0006425,0.0006425,0.0006425
29,254.837,1.59149,1.01709,1.14888,0.83178,0.77438,0.80916,0.41998,1.58103,0.88289,1.16372,0.00062,0.00062,0.00062
30,261.786,1.60261,1.0321,1.14684,0.83177,0.84315,0.83748,0.42565,1.55757,0.88346,1.1506,0.0005975,0.0005975,0.0005975
31,270.239,1.57873,0.99731,1.1267,0.86261,0.79555,0.84706,0.44284,1.52441,0.86843,1.14211,0.000575,0.000575,0.000575
32,277.581,1.58847,1.00615,1.16254,0.87269,0.77715,0.81702,0.4277,1.54305,0.89911,1.1504,0.0005525,0.0005525,0.0005525
33,285.76,1.58782,0.97675,1.13282,0.87106,0.78762,0.83641,0.44088,1.52622,0.87854,1.13056,0.00053,0.00053,0.00053
34,293.396,1.55091,0.97446,1.13616,0.85567,0.80222,0.83687,0.43244,1.50732,0.8535,1.12813,0.0005075,0.0005075,0.0005075
35,301.244,1.54833,0.95772,1.11956,0.8101,0.80084,0.80415,0.42241,1.58517,0.85537,1.15329,0.000485,0.000485,0.000485
36,309.955,1.53399,0.95713,1.1242,0.86588,0.82092,0.8496,0.4448,1.52552,0.83434,1.13268,0.0004625,0.0004625,0.0004625
37,316.911,1.52487,0.96446,1.12473,0.86447,0.80491,0.84483,0.4393,1.53323,0.86229,1.14454,0.00044,0.00044,0.00044
38,325.604,1.55312,0.96716,1.13132,0.85203,0.80121,0.83049,0.43151,1.53382,0.85179,1.12648,0.0004175,0.0004175,0.0004175
39,332.722,1.5349,0.95035,1.12054,0.84031,0.82877,0.8471,0.43926,1.5335,0.85065,1.12505,0.000395,0.000395,0.000395
40,341.488,1.53303,0.93962,1.1256,0.83433,0.81172,0.80988,0.43191,1.56165,0.83972,1.13574,0.0003725,0.0003725,0.0003725
41,351.55,1.48563,0.92203,1.14481,0.78017,0.81459,0.81997,0.43982,1.54465,0.82586,1.13578,0.00035,0.00035,0.00035
42,358.429,1.51831,0.90883,1.13846,0.82785,0.81683,0.846,0.44398,1.5307,0.81527,1.12575,0.0003275,0.0003275,0.0003275
43,367.006,1.51054,0.87713,1.13207,0.89418,0.77238,0.8362,0.41765,1.59779,0.81708,1.1406,0.000305,0.000305,0.000305
44,373.326,1.50318,0.87757,1.12475,0.90359,0.80556,0.83484,0.42777,1.59662,0.82025,1.1261,0.0002825,0.0002825,0.0002825
45,381.883,1.47664,0.86932,1.12133,0.89674,0.80636,0.84675,0.43094,1.57597,0.81959,1.12567,0.00026,0.00026,0.00026
46,388.542,1.47214,0.8569,1.11152,0.87807,0.81885,0.84785,0.45312,1.53667,0.80621,1.12535,0.0002375,0.0002375,0.0002375
47,396.56,1.45305,0.84724,1.11839,0.83362,0.8563,0.85536,0.4566,1.56226,0.80811,1.13546,0.000215,0.000215,0.000215
48,403.283,1.46281,0.84271,1.09307,0.87207,0.81535,0.84711,0.4354,1.53984,0.80803,1.12772,0.0001925,0.0001925,0.0001925
49,411.391,1.44456,0.83012,1.09691,0.82133,0.82598,0.83428,0.44867,1.53306,0.79087,1.12122,0.00017,0.00017,0.00017
50,417.943,1.45218,0.83191,1.11311,0.86385,0.84292,0.85285,0.44716,1.52629,0.78839,1.11425,0.0001475,0.0001475,0.0001475
